case,origin,dest,demand,y,flow
  133, 2,  4,225.0000, 48.7681,225.0000
  134, 1,  4,300.0000, 40.1667,300.0000
  134, 2,  4,225.0000, 48.7593,225.0000
  135, 1,  4,300.0000, 40.1667,300.0000
  135, 2,  4,225.0000, 48.7504,225.0000
  136, 1,  4,300.0000, 40.1667,300.0000
  136, 2,  4,225.0000, 48.7416,225.0000
  137, 1,  4,300.0000, 40.1667,300.0000
  137, 2,  4,225.0000, 48.7328,225.0000
  138, 1,  4,300.0000, 40.1667,300.0000
  138, 2,  4,225.0000, 48.7240,225.0000
  139, 1,  4,300.0000, 40.1667,300.0000
  139, 2,  4,225.0000, 48.7153,225.0000
  140, 1,  4,300.0000, 40.1667,300.0000
  140, 2,  4,225.0000, 48.7066,225.0000
  141, 1,  4,300.0000, 40.1667,300.0000
  141, 2,  4,225.0000, 48.6980,225.0000
  142, 1,  4,300.0000, 40.1667,300.0000
  142, 2,  4,225.0000, 48.6893,225.0000
  143, 1,  4,300.0000, 40.1667,300.0000
  143, 2,  4,225.0000, 48.6807,225.0000
  144, 1,  4,300.0000, 40.1667,300.0000
  144, 2,  4,225.0000, 48.6722,225.0000
  145, 1,  4,300.0000, 40.1667,300.0000
  145, 2,  4,225.0000, 48.6636,225.0000
  146, 1,  4,300.0000, 40.1667,300.0000
  146, 2,  4,225.0000, 48.6551,225.0000
  147, 1,  4,300.0000, 40.1667,300.0000
  147, 2,  4,225.0000, 48.6467,225.0000
  148, 1,  4,300.0000, 40.1667,300.0000
  148, 2,  4,225.0000, 48.6382,225.0000
  149, 1,  4,300.0000, 40.1667,300.0000
  149, 2,  4,225.0000, 48.6298,225.0000
  150, 1,  4,300.0000, 40.1667,300.0000
  150, 2,  4,225.0000, 48.6214,225.0000
  151, 1,  4,300.0000, 40.1667,300.0000
  151, 2,  4,225.0000, 48.6131,225.0000
  152, 1,  4,300.0000, 40.1667,300.0000
  152, 2,  4,225.0000, 48.6048,225.0000
  153, 1,  4,300.0000, 40.1667,300.0000
  153, 2,  4,225.0000, 48.5965,225.0000
  154, 1,  4,300.0000, 40.1667,300.0000
  154, 2,  4,225.0000, 48.5882,225.0000
  155, 1,  4,300.0000, 40.1667,300.0000
  155, 2,  4,225.0000, 48.5800,225.0000
  156, 1,  4,300.0000, 40.1667,300.0000
  156, 2,  4,225.0000, 48.5718,225.0000
  157, 1,  4,300.0000, 40.1667,300.0000
  157, 2,  4,225.0000, 48.5636,225.0000
  158, 1,  4,300.0000, 40.1667,300.0000
  158, 2,  4,225.0000, 48.5555,225.0000
  159, 1,  4,300.0000, 40.1667,300.0000
  159, 2,  4,225.0000, 48.5474,225.0000
  160, 1,  4,300.0000, 40.1667,300.0000
  160, 2,  4,225.0000, 48.5393,225.0000
  161, 1,  4,300.0000, 40.1667,300.0000
  161, 2,  4,225.0000, 48.5312,225.0000
  162, 1,  4,300.0000, 40.1667,300.0000
  162, 2,  4,225.0000, 48.5232,225.0000
  163, 1,  4,300.0000, 40.1667,300.0000
  163, 2,  4,225.0000, 48.5152,225.0000
  164, 1,  4,300.0000, 40.1667,300.0000
  164, 2,  4,225.0000, 48.5072,225.0000
  165, 1,  4,300.0000, 40.1667,300.0000
  165, 2,  4,225.0000, 48.4993,225.0000
  166, 1,  4,300.0000, 40.1667,300.0000
  166, 2,  4,225.0000, 48.4914,225.0000
  167, 1,  4,300.0000, 40.1667,300.0000
  167, 2,  4,225.0000, 48.4835,225.0000
  168, 1,  4,300.0000, 40.1667,300.0000
  168, 2,  4,225.0000, 48.4757,225.0000
  169, 1,  4,300.0000, 40.1667,300.0000
