method,case,dest,node,fout,lout,label
dp   ,  104, 1,  2,  4,  5, 47.69
dp   ,  104, 1,  3,  6,  6, 15.16
dp   ,  105, 1,  1,  1,  3, 39.06
dp   ,  105, 1,  2,  4,  5, 47.68
dp   ,  105, 1,  3,  6,  6, 15.16
dp   ,  106, 1,  1,  1,  3, 39.06
dp   ,  106, 1,  2,  4,  5, 47.68
dp   ,  106, 1,  3,  6,  6, 15.16
dp   ,  107, 1,  1,  1,  3, 39.06
dp   ,  107, 1,  2,  4,  5, 47.67
dp   ,  107, 1,  3,  6,  6, 15.16
dp   ,  108, 1,  1,  1,  3, 39.06
dp   ,  108, 1,  2,  4,  5, 47.66
dp   ,  108, 1,  3,  6,  6, 15.16
dp   ,  109, 1,  1,  1,  3, 39.06
dp   ,  109, 1,  2,  4,  5, 47.65
dp   ,  109, 1,  3,  6,  6, 15.16
dp   ,  110, 1,  1,  1,  3, 39.06
dp   ,  110, 1,  2,  4,  5, 47.64
dp   ,  110, 1,  3,  6,  6, 15.16
dp   ,  111, 1,  1,  1,  3, 39.06
dp   ,  111, 1,  2,  4,  5, 47.64
dp   ,  111, 1,  3,  6,  6, 15.16
dp   ,  112, 1,  1,  1,  3, 39.06
dp   ,  112, 1,  2,  4,  5, 47.63
dp   ,  112, 1,  3,  6,  6, 15.16
dp   ,  113, 1,  1,  1,  3, 39.06
dp   ,  113, 1,  2,  4,  5, 47.62
dp   ,  113, 1,  3,  6,  6, 15.16
dp   ,  114, 1,  1,  1,  3, 39.06
dp   ,  114, 1,  2,  4,  5, 47.61
dp   ,  114, 1,  3,  6,  6, 15.16
dp   ,  115, 1,  1,  1,  3, 39.06
dp   ,  115, 1,  2,  4,  5, 47.61
dp   ,  115, 1,  3,  6,  6, 15.16
dp   ,  116, 1,  1,  1,  3, 39.06
dp   ,  116, 1,  2,  4,  5, 47.60
dp   ,  116, 1,  3,  6,  6, 15.16
dp   ,  117, 1,  1,  1,  3, 39.06
dp   ,  117, 1,  2,  4,  5, 47.59
dp   ,  117, 1,  3,  6,  6, 15.16
dp   ,  118, 1,  1,  1,  3, 39.06
dp   ,  118, 1,  2,  4,  5, 47.58
dp   ,  118, 1,  3,  6,  6, 15.16
dp   ,  119, 1,  1,  1,  3, 39.06
dp   ,  119, 1,  2,  4,  5, 47.58
dp   ,  119, 1,  3,  6,  6, 15.16
dp   ,  120, 1,  1,  1,  3, 39.06
dp   ,  120, 1,  2,  4,  5, 47.57
dp   ,  120, 1,  3,  6,  6, 15.16
