method,case,dest,node,fout,lout,label
dp   ,  178, 1,  1,  1,  3, 44.82
dp   ,  178, 1,  2,  4,  5, 54.64
dp   ,  178, 1,  3,  6,  6, 16.58
dp   ,  179, 1,  1,  1,  3, 44.82
dp   ,  179, 1,  2,  4,  5, 54.61
dp   ,  179, 1,  3,  6,  6, 16.58
dp   ,  180, 1,  1,  1,  3, 44.82
dp   ,  180, 1,  2,  4,  5, 54.59
dp   ,  180, 1,  3,  6,  6, 16.58
dp   ,  181, 1,  1,  1,  3, 44.82
dp   ,  181, 1,  2,  4,  5, 54.56
dp   ,  181, 1,  3,  6,  6, 16.58
dp   ,  182, 1,  1,  1,  3, 44.82
dp   ,  182, 1,  2,  4,  5, 54.53
dp   ,  182, 1,  3,  6,  6, 16.58
dp   ,  183, 1,  1,  1,  3, 44.82
dp   ,  183, 1,  2,  4,  5, 54.51
dp   ,  183, 1,  3,  6,  6, 16.58
dp   ,  184, 1,  1,  1,  3, 44.82
dp   ,  184, 1,  2,  4,  5, 54.48
dp   ,  184, 1,  3,  6,  6, 16.58
dp   ,  185, 1,  1,  1,  3, 44.82
dp   ,  185, 1,  2,  4,  5, 54.46
