method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   38, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   38, 1,  4,      0.00,1000.00, 22.49,0.0000,0.0000,  2,  3
dp   ,   38, 1,  5,    150.00,  23.87, 23.87,1.0000,0.0000,  2,  4
dp   ,   38, 1,  6,    200.00,  15.97, 15.97,1.0000,0.0000,  3,  4
dp   ,   39, 1,  1,      0.00,  34.50, 10.62,0.0000,0.0000,  1,  2
dp   ,   39, 1,  2,    200.00,  31.46, 16.92,1.0000,0.0000,  1,  3
dp   ,   39, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   39, 1,  4,      0.00,1000.00, 22.49,0.0000,0.0000,  2,  3
dp   ,   39, 1,  5,    150.00,  23.87, 23.87,1.0000,0.0000,  2,  4
dp   ,   39, 1,  6,    200.00,  14.54, 14.54,1.0000,0.0000,  3,  4
dp   ,   40, 1,  1,    200.00,  33.46, 10.62,1.0000,0.0000,  1,  2
dp   ,   40, 1,  2,      0.00,  35.36, 16.92,0.0000,0.0000,  1,  3
dp   ,   40, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   40, 1,  4,      0.00,1000.00, 20.67,0.0000,0.0000,  2,  3
dp   ,   40, 1,  5,    350.00,  22.84, 22.84,1.0000,0.0000,  2,  4
dp   ,   40, 1,  6,      0.00,  18.43, 18.43,1.0000,0.0000,  3,  4
dp   ,   41, 1,  1,     61.75,  33.15, 10.62,0.3088,0.0000,  1,  2
dp   ,   41, 1,  2,    138.25,  33.14, 16.92,0.6912,0.0000,  1,  3
dp   ,   41, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   41, 1,  4,      0.00,1000.00, 20.67,0.0000,0.0000,  2,  3
dp   ,   41, 1,  5,    211.75,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,   41, 1,  6,    138.25,  16.21, 16.21,1.0000,0.0000,  3,  4
dp   ,   42, 1,  1,      0.00,  33.00, 10.62,0.0000,0.0000,  1,  2
dp   ,   42, 1,  2,    200.00,  31.80, 16.92,1.0000,0.0000,  1,  3
dp   ,   42, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   42, 1,  4,      0.00,1000.00, 20.67,0.0000,0.0000,  2,  3
dp   ,   42, 1,  5,    150.00,  22.38, 22.38,1.0000,0.0000,  2,  4
dp   ,   42, 1,  6,    200.00,  14.88, 14.88,1.0000,0.0000,  3,  4
dp   ,   43, 1,  1,    200.00,  32.48, 10.62,1.0000,0.0000,  1,  2
dp   ,   43, 1,  2,      0.00,  35.28, 16.92,0.0000,0.0000,  1,  3
dp   ,   43, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   43, 1,  4,      0.00,1000.00, 19.23,0.0000,0.0000,  2,  3
dp   ,   43, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   43, 1,  6,      0.00,  18.36, 18.36,1.0000,0.0000,  3,  4
dp   ,   44, 1,  1,    200.00,  32.48, 10.62,1.0000,0.0000,  1,  2
dp   ,   44, 1,  2,      0.00,  33.33, 16.92,0.0000,0.0000,  1,  3
dp   ,   44, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   44, 1,  4,      0.00,1000.00, 19.23,0.0000,0.0000,  2,  3
dp   ,   44, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   44, 1,  6,      0.00,  16.40, 16.40,1.0000,0.0000,  3,  4
dp   ,   45, 1,  1,      0.00,  32.11, 10.62,0.0000,0.0000,  1,  2
dp   ,   45, 1,  2,    200.00,  32.08, 16.92,1.0000,0.0000,  1,  3
dp   ,   45, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   45, 1,  4,      0.00,1000.00, 19.23,0.0000,0.0000,  2,  3
dp   ,   45, 1,  5,    150.00,  21.48, 21.48,1.0000,0.0000,  2,  4
dp   ,   45, 1,  6,    200.00,  15.15, 15.15,1.0000,0.0000,  3,  4
dp   ,   46, 1,  1,      0.00,  54.10, 18.28,0.0000,0.0000,  1,  2
dp   ,   46, 1,  2,     47.22,  43.08, 24.58,0.2361,0.0000,  1,  3
dp   ,   46, 1,  3,    152.78,  43.09, 43.09,0.7639,0.0000,  1,  4
dp   ,   46, 1,  4,      0.00,1000.00, 27.36,0.0000,0.0000,  2,  3
dp   ,   46, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   46, 1,  6,     47.22,  18.50, 18.50,1.0000,0.0000,  3,  4
dp   ,   47, 1,  1,      0.00,1000.00, 19.27,0.0000,0.0000,  1,  2
dp   ,   47, 1,  2,    200.00,  40.76, 25.57,1.0000,0.0000,  1,  3
dp   ,   47, 1,  3,      0.00,  41.94, 41.94,0.0000,0.0000,  1,  4
dp   ,   47, 1,  4,      0.00,  43.14, 27.94,0.0000,0.0000,  2,  3
dp   ,   47, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   47, 1,  6,    200.00,  15.19, 15.19,1.0000,0.0000,  3,  4
dp   ,   48, 1,  1,      0.00,1000.00, 19.27,0.0000,0.0000,  1,  2
dp   ,   48, 1,  2,    200.00,  39.14, 25.57,1.0000,0.0000,  1,  3
dp   ,   48, 1,  3,      0.00,  41.94, 41.94,0.0000,0.0000,  1,  4
dp   ,   48, 1,  4,      0.00,  41.51, 27.94,0.0000,0.0000,  2,  3
dp   ,   48, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   48, 1,  6,    200.00,  13.57, 13.57,1.0000,0.0000,  3,  4
dp   ,   49, 1,  1,      0.00,  45.20, 18.34,0.0000,0.0000,  1,  2
dp   ,   49, 1,  2,     56.37,  43.01, 24.64,0.2818,0.0000,  1,  3
dp   ,   49, 1,  3,    143.63,  43.02, 43.02,0.7182,0.0000,  1,  4
dp   ,   49, 1,  4,      0.00,1000.00, 21.55,0.0000,0.0000,  2,  3
dp   ,   49, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   49, 1,  6,     56.37,  18.37, 18.37,1.0000,0.0000,  3,  4
dp   ,   50, 1,  1,      0.00,  46.13, 19.27,0.0000,0.0000,  1,  2
dp   ,   50, 1,  2,    200.00,  41.22, 25.57,1.0000,0.0000,  1,  3
dp   ,   50, 1,  3,      0.00,1000.00, 41.94,0.0000,0.0000,  1,  4
dp   ,   50, 1,  4,      0.00,1000.00, 21.93,0.0000,0.0000,  2,  3
dp   ,   50, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   50, 1,  6,    200.00,  15.65, 15.65,1.0000,0.0000,  3,  4
dp   ,   51, 1,  1,      0.00,  46.13, 19.27,0.0000,0.0000,  1,  2
dp   ,   51, 1,  2,    200.00,  39.69, 25.57,1.0000,0.0000,  1,  3
