method,case,dest,node,fout,lout,label
dp   ,   97, 1,  1,  1,  3, 38.46
dp   ,   97, 1,  2,  4,  5, 23.87
dp   ,   98, 1,  1,  1,  3, 38.46
dp   ,   98, 1,  2,  4,  5, 23.87
dp   ,   99, 1,  1,  1,  3, 38.46
dp   ,   99, 1,  2,  4,  5, 23.87
dp   ,  100, 1,  1,  1,  3, 38.46
dp   ,  100, 1,  2,  4,  5, 22.38
dp   ,  101, 1,  1,  1,  3, 38.46
dp   ,  101, 1,  2,  4,  5, 22.38
dp   ,  102, 1,  1,  1,  3, 38.46
dp   ,  102, 1,  2,  4,  5, 22.38
dp   ,  103, 1,  1,  1,  3, 38.46
dp   ,  103, 1,  2,  4,  5, 21.48
dp   ,  104, 1,  1,  1,  3, 38.46
dp   ,  104, 1,  2,  4,  5, 21.48
dp   ,  105, 1,  1,  1,  3, 38.46
dp   ,  105, 1,  2,  4,  5, 21.48
dp   ,  106, 1,  1,  1,  3, 37.72
dp   ,  106, 1,  2,  4,  5, 35.82
dp   ,  106, 1,  3,  6,  6, 18.80
dp   ,  107, 1,  1,  1,  3, 34.28
dp   ,  107, 1,  2,  4,  5, 35.82
dp   ,  107, 1,  3,  6,  6, 15.19
dp   ,  108, 1,  1,  1,  3, 32.65
dp   ,  108, 1,  2,  4,  5, 35.82
dp   ,  108, 1,  3,  6,  6, 13.57
dp   ,  109, 1,  1,  1,  3, 37.61
dp   ,  109, 1,  2,  4,  5, 26.86
dp   ,  109, 1,  3,  6,  6, 18.63
dp   ,  110, 1,  1,  1,  3, 34.73
dp   ,  110, 1,  2,  4,  5, 26.86
dp   ,  110, 1,  3,  6,  6, 15.65
dp   ,  111, 1,  1,  1,  3, 33.20
dp   ,  111, 1,  2,  4,  5, 26.86
dp   ,  111, 1,  3,  6,  6, 14.11
dp   ,  112, 1,  1,  1,  3, 37.27
dp   ,  112, 1,  2,  4,  5, 24.49
dp   ,  113, 1,  1,  1,  3, 35.06
