case,origin,dest,demand,y,flow
   88, 2,  4,150.0000, 48.5150,150.0000
   89, 1,  4,200.0000, 39.6111,200.0000
   89, 2,  4,150.0000, 48.5054,150.0000
   90, 1,  4,200.0000, 39.6111,200.0000
   90, 2,  4,150.0000, 48.4959,150.0000
   91, 1,  4,200.0000, 39.6111,200.0000
   91, 2,  4,150.0000, 48.4864,150.0000
   92, 1,  4,200.0000, 39.6111,200.0000
   92, 2,  4,150.0000, 48.4770,150.0000
   93, 1,  4,200.0000, 39.6111,200.0000
   93, 2,  4,150.0000, 48.4676,150.0000
   94, 1,  4,200.0000, 39.6111,200.0000
   94, 2,  4,150.0000, 48.4582,150.0000
   95, 1,  4,200.0000, 39.6111,200.0000
   95, 2,  4,150.0000, 48.4489,150.0000
   96, 1,  4,200.0000, 39.6111,200.0000
   96, 2,  4,150.0000, 48.4396,150.0000
   97, 1,  4,200.0000, 39.6111,200.0000
   97, 2,  4,150.0000, 48.4304,150.0000
   98, 1,  4,200.0000, 39.6111,200.0000
   98, 2,  4,150.0000, 48.4212,150.0000
   99, 1,  4,200.0000, 39.6111,200.0000
   99, 2,  4,150.0000, 48.4120,150.0000
  100, 1,  4,200.0000, 39.6111,200.0000
  100, 2,  4,150.0000, 48.4029,150.0000
  101, 1,  4,200.0000, 39.6111,200.0000
  101, 2,  4,150.0000, 48.3938,150.0000
  102, 1,  4,200.0000, 39.6111,200.0000
  102, 2,  4,150.0000, 48.3847,150.0000
  103, 1,  4,200.0000, 39.6111,200.0000
  103, 2,  4,150.0000, 48.3757,150.0000
  104, 1,  4,200.0000, 39.6111,200.0000
  104, 2,  4,150.0000, 48.3667,150.0000
  105, 1,  4,200.0000, 39.6111,200.0000
  105, 2,  4,150.0000, 48.3577,150.0000
  106, 1,  4,200.0000, 39.6111,200.0000
  106, 2,  4,150.0000, 48.3488,150.0000
  107, 1,  4,200.0000, 39.6111,200.0000
  107, 2,  4,150.0000, 48.3399,150.0000
  108, 1,  4,200.0000, 39.6111,200.0000
  108, 2,  4,150.0000, 48.3310,150.0000
  109, 1,  4,200.0000, 39.6111,200.0000
  109, 2,  4,150.0000, 48.3222,150.0000
  110, 1,  4,200.0000, 39.6111,200.0000
  110, 2,  4,150.0000, 48.3134,150.0000
