 SeedNum,Iter,LineId,Fleet,TTC,Fare
   2,     5,   2,   3,   3,     288186.08,      0.89
   2,     5,   2,   4,   4,     288186.08,      0.89
   2,     5,   2,   5,   4,     288186.08,      0.89
   2,     5,   2,   6,   1,     288186.08,      0.89
   2,     5,   2,   7,   3,     288186.08,      0.89
   2,     5,   2,   8,   3,     288186.08,      0.89
   2,     5,   2,   9,   1,     288186.08,      0.89
   2,     5,   2,  10,   4,     288186.08,      0.89
   2,     5,   2,  11,   2,     288186.08,      0.89
   2,     5,   2,  12,   3,     288186.08,      0.89
   2,     5,   2,  13,   3,     288186.08,      0.89
   2,     5,   2,  14,   2,     288186.08,      0.89
   2,     5,   2,  15,   3,     288186.08,      0.89
   2,     5,   2,  16,   3,     288186.08,      0.89
   2,     5,   2,  17,   1,     288186.08,      0.89
   2,     5,   2,  18,   1,     288186.08,      0.89
   2,     5,   2,  19,   2,     288186.08,      0.89
   2,     5,   2,  20,   3,     288186.08,      0.89
