method,case,dest,node,fout,lout,label
dp   ,  118, 1,  1,  1,  3, 34.18
dp   ,  118, 1,  2,  4,  5, 21.62
dp   ,  119, 1,  1,  1,  3, 35.73
dp   ,  119, 1,  2,  4,  5, 36.34
dp   ,  119, 1,  3,  6,  6, 19.06
dp   ,  120, 1,  1,  1,  3, 31.64
dp   ,  120, 1,  2,  4,  5, 36.34
dp   ,  120, 1,  3,  6,  6, 14.96
dp   ,  121, 1,  1,  1,  3, 30.00
dp   ,  121, 1,  2,  4,  5, 36.34
dp   ,  121, 1,  3,  6,  6, 13.32
dp   ,  122, 1,  1,  1,  3, 35.22
dp   ,  122, 1,  2,  4,  5, 26.65
dp   ,  122, 1,  3,  6,  6, 18.54
dp   ,  123, 1,  1,  1,  3, 32.08
dp   ,  123, 1,  2,  4,  5, 26.65
dp   ,  123, 1,  3,  6,  6, 15.40
dp   ,  124, 1,  1,  1,  3, 30.55
dp   ,  124, 1,  2,  4,  5, 26.65
dp   ,  124, 1,  3,  6,  6, 13.87
dp   ,  125, 1,  1,  1,  3, 34.94
dp   ,  125, 1,  2,  4,  5, 24.56
dp   ,  126, 1,  1,  1,  3, 32.40
dp   ,  126, 1,  2,  4,  5, 23.63
dp   ,  126, 1,  3,  6,  6, 15.72
dp   ,  127, 1,  1,  1,  3, 30.99
dp   ,  127, 1,  2,  4,  5, 23.63
dp   ,  127, 1,  3,  6,  6, 14.31
dp   ,  128, 1,  1,  1,  3, 33.06
dp   ,  128, 1,  2,  4,  5, 22.68
dp   ,  129, 1,  1,  1,  3, 32.65
dp   ,  129, 1,  2,  4,  5, 22.28
dp   ,  129, 1,  3,  6,  6, 15.97
dp   ,  130, 1,  1,  1,  3, 32.00
dp   ,  130, 1,  2,  4,  5, 21.62
dp   ,  131, 1,  1,  1,  3, 35.78
dp   ,  131, 1,  2,  4,  5, 36.34
dp   ,  132, 1,  1,  1,  3, 35.78
dp   ,  132, 1,  2,  4,  5, 36.34
dp   ,  133, 1,  1,  1,  3, 35.78
dp   ,  133, 1,  2,  4,  5, 36.34
dp   ,  134, 1,  1,  1,  3, 35.78
dp   ,  134, 1,  2,  4,  5, 26.65
dp   ,  135, 1,  1,  1,  3, 35.78
dp   ,  135, 1,  2,  4,  5, 26.65
dp   ,  136, 1,  1,  1,  3, 35.78
dp   ,  136, 1,  2,  4,  5, 26.65
dp   ,  137, 1,  1,  1,  3, 35.78
dp   ,  137, 1,  2,  4,  5, 23.63
dp   ,  138, 1,  1,  1,  3, 35.78
dp   ,  138, 1,  2,  4,  5, 23.63
dp   ,  139, 1,  1,  1,  3, 35.78
dp   ,  139, 1,  2,  4,  5, 23.63
dp   ,  140, 1,  1,  1,  3, 35.78
dp   ,  140, 1,  2,  4,  5, 22.15
dp   ,  141, 1,  1,  1,  3, 35.78
dp   ,  141, 1,  2,  4,  5, 22.15
dp   ,  142, 1,  1,  1,  3, 35.78
dp   ,  142, 1,  2,  4,  5, 22.15
dp   ,  143, 1,  1,  1,  3, 35.78
dp   ,  143, 1,  2,  4,  5, 21.28
dp   ,  144, 1,  1,  1,  3, 35.78
dp   ,  144, 1,  2,  4,  5, 21.28
dp   ,  145, 1,  1,  1,  3, 35.78
dp   ,  145, 1,  2,  4,  5, 36.34
dp   ,  146, 1,  1,  1,  3, 33.82
dp   ,  146, 1,  2,  4,  5, 36.34
dp   ,  146, 1,  3,  6,  6, 14.96
dp   ,  147, 1,  1,  1,  3, 32.18
dp   ,  147, 1,  2,  4,  5, 36.34
dp   ,  147, 1,  3,  6,  6, 13.32
dp   ,  148, 1,  1,  1,  3, 35.78
dp   ,  148, 1,  2,  4,  5, 26.65
dp   ,  149, 1,  1,  1,  3, 34.26
dp   ,  149, 1,  2,  4,  5, 26.65
dp   ,  149, 1,  3,  6,  6, 15.40
dp   ,  150, 1,  1,  1,  3, 32.73
dp   ,  150, 1,  2,  4,  5, 26.65
dp   ,  150, 1,  3,  6,  6, 13.87
dp   ,  151, 1,  1,  1,  3, 35.76
dp   ,  151, 1,  2,  4,  5, 23.63
dp   ,  152, 1,  1,  1,  3, 34.58
dp   ,  152, 1,  2,  4,  5, 23.63
dp   ,  152, 1,  3,  6,  6, 15.72
dp   ,  153, 1,  1,  1,  3, 33.17
dp   ,  153, 1,  2,  4,  5, 23.63
dp   ,  153, 1,  3,  6,  6, 14.31
dp   ,  154, 1,  1,  1,  3, 35.22
dp   ,  154, 1,  2,  4,  5, 22.68
dp   ,  155, 1,  1,  1,  3, 34.83
dp   ,  155, 1,  2,  4,  5, 22.28
dp   ,  155, 1,  3,  6,  6, 15.97
dp   ,  156, 1,  1,  1,  3, 34.18
dp   ,  156, 1,  2,  4,  5, 21.62
dp   ,  157, 1,  1,  1,  3, 35.27
dp   ,  157, 1,  2,  4,  5, 36.34
dp   ,  157, 1,  3,  6,  6, 18.70
dp   ,  158, 1,  1,  1,  3, 31.64
dp   ,  158, 1,  2,  4,  5, 36.34
dp   ,  158, 1,  3,  6,  6, 14.96
dp   ,  159, 1,  1,  1,  3, 30.00
dp   ,  159, 1,  2,  4,  5, 36.34
dp   ,  159, 1,  3,  6,  6, 13.32
dp   ,  160, 1,  1,  1,  3, 35.22
dp   ,  160, 1,  2,  4,  5, 26.65
dp   ,  160, 1,  3,  6,  6, 18.54
dp   ,  161, 1,  1,  1,  3, 32.08
dp   ,  161, 1,  2,  4,  5, 26.65
dp   ,  161, 1,  3,  6,  6, 15.40
dp   ,  162, 1,  1,  1,  3, 30.55
dp   ,  162, 1,  2,  4,  5, 26.65
dp   ,  162, 1,  3,  6,  6, 13.87
dp   ,  163, 1,  1,  1,  3, 34.94
dp   ,  163, 1,  2,  4,  5, 24.56
dp   ,  164, 1,  1,  1,  3, 32.40
dp   ,  164, 1,  2,  4,  5, 23.63
dp   ,  164, 1,  3,  6,  6, 15.72
dp   ,  165, 1,  1,  1,  3, 33.06
dp   ,  165, 1,  2,  4,  5, 22.68
dp   ,  166, 1,  1,  1,  3, 34.23
dp   ,  166, 1,  2,  4,  5, 36.34
dp   ,  167, 1,  1,  1,  3, 34.23
dp   ,  167, 1,  2,  4,  5, 36.34
dp   ,  168, 1,  1,  1,  3, 34.23
dp   ,  168, 1,  2,  4,  5, 36.34
dp   ,  169, 1,  1,  1,  3, 34.23
dp   ,  169, 1,  2,  4,  5, 26.65
dp   ,  170, 1,  1,  1,  3, 34.23
dp   ,  170, 1,  2,  4,  5, 26.65
dp   ,  171, 1,  1,  1,  3, 34.23
dp   ,  171, 1,  2,  4,  5, 26.65
dp   ,  172, 1,  1,  1,  3, 34.23
dp   ,  172, 1,  2,  4,  5, 23.63
dp   ,  173, 1,  1,  1,  3, 34.23
dp   ,  173, 1,  2,  4,  5, 23.63
dp   ,  174, 1,  1,  1,  3, 34.23
dp   ,  174, 1,  2,  4,  5, 23.63
dp   ,  175, 1,  1,  1,  3, 34.23
dp   ,  175, 1,  2,  4,  5, 22.15
dp   ,  176, 1,  1,  1,  3, 34.23
dp   ,  176, 1,  2,  4,  5, 22.15
dp   ,  177, 1,  1,  1,  3, 34.23
dp   ,  177, 1,  2,  4,  5, 21.28
dp   ,  178, 1,  1,  1,  3, 34.23
dp   ,  178, 1,  2,  4,  5, 36.34
dp   ,  179, 1,  1,  1,  3, 33.82
dp   ,  179, 1,  2,  4,  5, 36.34
dp   ,  179, 1,  3,  6,  6, 14.96
dp   ,  180, 1,  1,  1,  3, 32.18
dp   ,  180, 1,  2,  4,  5, 36.34
dp   ,  180, 1,  3,  6,  6, 13.32
dp   ,  181, 1,  1,  1,  3, 34.23
dp   ,  181, 1,  2,  4,  5, 26.65
dp   ,  182, 1,  1,  1,  3, 33.92
dp   ,  182, 1,  2,  4,  5, 26.65
dp   ,  182, 1,  3,  6,  6, 15.30
dp   ,  183, 1,  1,  1,  3, 32.73
dp   ,  183, 1,  2,  4,  5, 26.65
dp   ,  183, 1,  3,  6,  6, 13.87
dp   ,  184, 1,  1,  1,  3, 34.23
dp   ,  184, 1,  2,  4,  5, 23.63
dp   ,  185, 1,  1,  1,  3, 34.05
dp   ,  185, 1,  2,  4,  5, 23.63
dp   ,  185, 1,  3,  6,  6, 15.58
dp   ,  186, 1,  1,  1,  3, 34.23
dp   ,  186, 1,  2,  4,  5, 22.15
dp   ,  187, 1,  1,  1,  3, 34.23
dp   ,  187, 1,  2,  4,  5, 36.34
dp   ,  188, 1,  1,  1,  3, 31.64
dp   ,  188, 1,  2,  4,  5, 36.34
dp   ,  188, 1,  3,  6,  6, 14.96
dp   ,  189, 1,  1,  1,  3, 30.00
dp   ,  189, 1,  2,  4,  5, 36.34
dp   ,  189, 1,  3,  6,  6, 13.32
